Artikelnummer;Artikelname;Brutto-VK;Stücklistenkomponenten Artikelnummer;Menge
Q1-PN8H-5U4S;satch Air Schulrucksack Set 2tlg. inkl. Schlamperbox (Night Vision);119,99;1J-4S6R-DBDW;1
12611;satch Pack Schulrucksack Set 3tlg. mit Sporttasche und Schlamperbox (Blackjack);;1B-ZKN2-MHLE;1
Q4-ULIM-1BRL;satch Pack Schulrucksack Set 3tlg. inkl. Schlamperbox und Sporttasche (Deep Petrol);187,68;11-SLXH-1DF4;1
PW-27M7-UZ51;satch Pack Schulrucksack Set 3tlg. inkl. Schlamperbox und Sportbeutel (Deep Petrol);184,68;11-SLXH-1DF4;1
23-E5G9-MI5J;coocazoo PORTER Schulrucksack-Set 3tlg inkl. Sporttasche und Schlamperbox (Electric Ice);208,99;11-DU31-4PGS;1
MZ-Y6CA-GUO5;satch Pack Schulrucksack Set 3tlg. inkl. Schlamperbox und Sporttasche (Purple Phantom);;100007;1
Y2-P3NT-DWWO;satch Match Schulrucksack Set 3tlg. (Purple Phantom) inkl. Schlamperbox und Sporttasche;;100007;1
HX-N7MB-FOLX;satch Pack Schulrucksack Set 3tlg. inkl. Schlamperbox und Sportbeutel (Nordic Coral);191,99;0U-L1B4-QXJ9;1
7D-ABZS-OY6V;satch Pack Schulrucksack Set 3tlg. inkl. Schlamperbox u. Sporttasche (Nordic Coral);199,99;0U-L1B4-QXJ9;1
12461;satch Pack Schulrucksack Set 3tlg. inkl. Schlamperbox u. Sporttasche (Nordic Coral);199,99;0U-L1B4-QXJ9;1
II-MAAE-5XP1;coocazoo MATE Schulrucksack-Set 2tlg inkl. Schlamperbox (Brudi);127,79;0R-NCCT-3052;1
UZ-QX4N-5HV2;coocazoo MATE Schulrucksack-Set 2tlg inkl. Schlamperbox (Breaking Waves);145,97;0G-OB20-5MR1;1
P2-Q2AB-132N;coocazoo MATE Schulrucksack-Set 3tlg inkl. Sporttasche und Schlamperbox (Dark Mission);;0B-K6XY-7ILT;1
FP-EIPY-SHNV;coocazoo MATE Schulrucksack-Set 3tlg inkl. Sporttasche und Schlamperbox (Midnight Dust);188,99;0A-UQ9F-KCMK;1
JQ-63B5-PXMW;coocazoo MATE Schulrucksack-Set 2tlg inkl. Schlamperbox (Black Coal);145,97;01-Y76V-V14Q;1
HE-5ZHR-BAMR;coocazoo MATE Schulrucksack-Set 3tlg inkl. Sporttasche und Schlamperbox (Black Coal);176,25;01-Y76V-V14Q;1
OZ-GR8W-KJ2R;satch Pack Schulrucksack Set 3tlg. mit Sporttasche und Schlamperbox (Nordic Ice Blue), 45 x 30 x 22 cm;239,95;01194-30181-10;1
8H-U4KZ-5E3Z;satch Match Schulrucksack Set 3tlg. inkl. Schlamperbox u. Sportbeutel (Candy Clouds);167,51;00179-90223-10;1
14133;satch Match Schulrucksack Set 3tlg. inkl. Schlamperbox u. Sporttasche (Candy Clouds);176,12;00179-90223-10;1
12529;satch Match Schulrucksack Set 3tlg. inkl. Schlamperbox u. Sportbeutel (Candy Clouds);167,51;00179-90223-10;1
8H-U4KZ-5E3Z;satch Match Schulrucksack Set 3tlg. inkl. Schlamperbox u. Sportbeutel (Candy Clouds);;ZU-IIB4-S4AW;1
BW-87K3-KZWM;satch Pack Schulrucksack Set 3tlg. mit Sporttasche und Schlamperbox (Nordic Blue Skandi Ed.);;YB-QM1Y-1N4C;1
12708;satch Pack Schulrucksack Set 3tlg. mit Sporttasche und Schlamperbox (Nordic Blue Skandi Ed.);;YB-QM1Y-1N4C;1
FS-4NHF-AX6I;satch Pack Schulrucksack Set 3tlg. inkl. Schlamperbox und Sportbeutel (Dark Skate);;Y6-QZ8C-UWUA;1
BD-UTXH-OSER;satch Pack Schulrucksack Set 2.tlg (Dark Skate);;Y6-QZ8C-UWUA;1
R7-JO8Z-M7TP;satch Pack Schulrucksack Set 3tlg. mit Sporttasche und Schlamperbox (Blue Tech);;Y4-VM6M-RR7J;1
13558;satch Pack Schulrucksack Set 3tlg. mit Sporttasche und Schlamperbox (Blue Tech);;Y4-VM6M-RR7J;1
13558;satch Pack Schulrucksack Set 3tlg. mit Sporttasche und Schlamperbox (Blue Tech);;WP-MIUZ-AJV7;1
13058;satch Pack Schulrucksack Set 3tlg. inkl. Schlamperbox u. Sporttasche (Jurassic Jungle);184,23;VJ-WKE5-JKDG;1
WQ-JZRW-TGV3;coocazoo MATE Schulrucksack-Set 3tlg inkl. Sporttasche und Schlamperbox (Arctic Midnight);;V4-V844-8GWX;1
13887;satch Pack Schulrucksack Set 3tlg. inkl. Schlamperbox u. Sporttasche (Night Vision);;U2-AFGL-A6WB;1
II-MAAE-5XP1;coocazoo MATE Schulrucksack-Set 2tlg inkl. Schlamperbox (Brudi);;U1-1UI5-WVBK;1
13887;satch Pack Schulrucksack Set 3tlg. inkl. Schlamperbox u. Sporttasche (Night Vision);175,99;TT-GOHZ-1C3U;1
13376;satch Pack Schulrucksack Set 3tlg. inkl. Schlamperbox und Sportbeutel (Night Vision);172,98;TT-GOHZ-1C3U;1
GH-GNL9-U0TG;coocazoo PORTER Schulrucksack-Set 3tlg inkl. Sporttasche und Schlamperbox (Midnight Dust);;SH-9GZU-1E86;1
12652;satch Pack Schulrucksack Set 3tlg. mit Schlamperbox und Sportbeutel (Funky Friday);169,16;QI-5DC8-78BN;1
13427;satch Pack Schulrucksack Set 3tlg. mit Schlamperbox und Sportbeutel (Blackjack);;Q4-GIDF-I1NP;1
12415;satch Pack Schulrucksack Set 3tlg. mit Sporttasche und Schlamperbox (Nordic Jade Green Skandi Ed.);213,37;PP-EGLE-U9A2;1
13268;satch Pack Schulrucksack Set 3tlg. mit Sporttasche und Schlamperbox (Nordic Grey Skandi Ed.);;P1-YO1U-SLY2;1
GH-GNL9-U0TG;coocazoo PORTER Schulrucksack-Set 3tlg inkl. Sporttasche und Schlamperbox (Midnight Dust);;OR-LQ37-AFSJ;1
12515;satch Pack Schulrucksack Set 3tlg. mit Sporttasche und Schlamperbox (Funky Friday);;O0-4XQV-76UO;1
13427;satch Pack Schulrucksack Set 3tlg. mit Schlamperbox und Sportbeutel (Blackjack);;LZ-COA2-Z2DT;1
14930;Satch Match - 3tlg. Set Schulrucksack - Farbauswahl - Rucksack+Sporttasche+Schlamperbox (Satch Match Pink Phantom Schulrucksack Set 3tlg.);;JS-TQN8-YX7I;1
12623;satch Pack Schulrucksack Set 3tlg. mit Sporttasche und Schlamperbox (Pink Phantom);;JS-TQN8-YX7I;1
HW-GV7S-YESU;satch Match Schulrucksack Set 2tlg. mit Schlamperbox (Ninja Matrix);;J4-CAB4-P4PB;1
14102;satch Match Schulrucksack Set 3tlg. mit Sporttasche und Schlamperbox (Ninja Matrix);;J4-CAB4-P4PB;1
12965;satch Pack Schulrucksack Set 3tlg. mit Sporttasche und Schlamperbox (Ninja Matrix);;J4-CAB4-P4PB;1
HI-4EC2-L893;satch Air Schulrucksack Set 3tlg. inkl. Schlamperbox und Sporttasche (Jurassic Jungle);;IJ-H982-IT5K;1
HX-N7MB-FOLX;satch Pack Schulrucksack Set 3tlg. inkl. Schlamperbox und Sportbeutel (Nordic Coral);;IH-US52-2GAP;1
14561;Satch Match Ninja Matrix Schulrucksack Set 2tlg.;169,98;ID-P5K9-TQK8;1
14102;satch Match Schulrucksack Set 3tlg. mit Sporttasche und Schlamperbox (Ninja Matrix);211,5;ID-P5K9-TQK8;1
TT-8NIK-NCA2;satch Pack Schulrucksack Set 2tlg. mit Schlamperbox (Mystic Nights);139,48;I2-HGR0-5QZP;1
6X-7IEP-0SJO;satch Pack Schulrucksack Set 3tlg. mit Schlamperbox und Sportbeutel (Ninja Matrix);;HK-M5E9-9Y0Y;1
12439;satch Pack Schulrucksack Set 3tlg. mit Schlamperbox und Sportbeutel (Ninja Matrix);;HK-M5E9-9Y0Y;1
I4-TR34-RVZ5;satch Match Schulrucksack Set 2tlg. (Deep Petrol);173,99;FI-M70R-LN8O;1
I9-HWHT-BKKA;satch Air Schulrucksack Set 2tlg. inkl. Schlamperbox (Dark Skate);105,67;F5-HAPQ-3FBL;1
14096;satch Match Schulrucksack Set 3tlg. mit Sporttasche und Schlamperbox (Toxic Yellow);194,42;EK-L4R3-XHHV;1
HW-GV7S-YESU;satch Match Schulrucksack Set 2tlg. mit Schlamperbox (Ninja Matrix);159,99;EH-NDE8-MRR9;1
FY-JTPQ-V8TK;satch Pack Schulrucksack Set 2tlg. mit Schlamperbox (Ninja Matrix);158,25;EH-NDE8-MRR9;1
12965;satch Pack Schulrucksack Set 3tlg. mit Sporttasche und Schlamperbox (Ninja Matrix);232,16;EB-8RY0-V488;1
PW-27M7-UZ51;satch Pack Schulrucksack Set 3tlg. inkl. Schlamperbox und Sportbeutel (Deep Petrol);;EB-8RY0-V488;1
13847;satch Pack Schulrucksack Set 3tlg. inkl. Schlamperbox u. Sporttasche (Purple Laser);;DK-JXOJ-8C9G;1
37-O782-IGUP;satch Pack Schulrucksack Set 3tlg. mit Sporttasche und Schlamperbox (Mesmerize);;DK-A51K-XZ5S;1
14449;satch Match Schulrucksack Set 3tlg. mit Sporttasche und Schlamperbox (Bloomy Breeze);193,47;DH-6Y7A-7PIP;1
14108;satch Pack Schulrucksack Set 3tlg. mit Sporttasche und Schlamperbox (Mesmerize);;D9-MRH0-6ZOH;1
QT-S48J-PF21;satch Pack Schulrucksack Set 3tlg. inkl. Schlamperbox u. Sporttasche (Dreamy Mosaic);;D8-4ZBL-V7W4;1
F2-23XI-6KQK;satch Pack Schulrucksack Set 3tlg. mit Sporttasche und Schlamperbox (Fire Phantom);;D6-H6X6-JDQ6;1
7D-ABZS-OY6V;satch Pack Schulrucksack Set 3tlg. inkl. Schlamperbox u. Sporttasche (Nordic Coral);;D3-1SO7-A3D1;1
12652;satch Pack Schulrucksack Set 3tlg. mit Schlamperbox und Sportbeutel (Funky Friday);;D3-0IIZ-H00O;1
LG-6SIM-9BL9;satch Pack Schulrucksack Set 2tlg. mit Schlamperbox (Urban Journey);;C4-0MAR-PE91;1
V3-YKPW-H0J9;satch Pack Schulrucksack Set 3tlg. inkl. Schlamperbox und Sportbeutel (Dreamy Mosaic);;AK-7YEK-RJUI;1
13616;satch Pack Schulrucksack Set 3tlg. mit Schlamperbox und Sportbeutel (Fire Phantom);;A1-LP4X-DE6L;1
12904;satch Pack Schulrucksack Set 3tlg. mit Sporttasche und Schlamperbox (Fire Phantom);;A1-LP4X-DE6L;1
14094;Satch Match Schulrucksack Set 2tlg. mit Schlamperbox (Mystic Nights);169,79;96-WB7T-08HB;1
JN-1V3Z-Z7SZ;satch Match Schulrucksack Set 3tlg. mit Schlamperbox und Sportbeutel (Mystic Nights 2024);;8X-XT0Z-B8M4;1
14147;Satch Match Mystic Nights Schulrucksack Set 2tlg.;;8X-XT0Z-B8M4;1
14693;satch Match Schulrucksack Set 3tlg. inkl. Schlamperbox und Sportbeutel (Purple Phantom);;8M-J0C6-6VHA;1
14480;satch Match Schulrucksack Set 3tlg. (Purple Phantom) inkl. Schlamperbox und Sporttasche;;8M-J0C6-6VHA;1
12515;satch Pack Schulrucksack Set 3tlg. mit Sporttasche und Schlamperbox (Funky Friday);;8I-HHTJ-MYGS;1
13539;satch Pack Schulrucksack Set 3tlg. inkl. Schlamperbox u. Sporttasche (Dreamy Mosaic);194,87;8I-HHTJ-MYGS;1
B2-5VGW-QOB3;Satch Pack Mint Phantom 2er Set Schulrucksack & Schlamperbox;139,98;85-WA4C-OXRV;1
VK-VD2Z-RGR4;satch Pack Schulrucksack Set 3tlg. mit Sporttasche und Schlamperbox (Mint Phantom);172,49;85-WA4C-OXRV;1
14067;Satch Pack Mint Phantom 2er Set Schulrucksack & Schlamperbox;139,98;85-WA4C-OXRV;1
13800;satch Pack Schulrucksack Set 3tlg. mit Sporttasche und Schlamperbox (Mint Phantom);;85-WA4C-OXRV;1
S9-LK8J-Z79N;satch Air Schulrucksack Set 2tlg. inkl. Schlamperbox (Purple Laser);;7P-ODZ0-FJPH;1
13847;satch Pack Schulrucksack Set 3tlg. inkl. Schlamperbox u. Sporttasche (Purple Laser);;7P-ODZ0-FJPH;1
19-4B7Z-2OPR;satch Pack Schulrucksack Set 2tlg. mit Schlamperbox (Purple Laser), 45 x 30 x 22 cm;148,47;7N-SOCR-YEUD;1
PY-ZK3X-VU45;coocazoo JOKER Schulrucksack-Set 3tlg inkl. Sporttasche und Schlamperbox (Bubble Brush);;7G-0Y4H-AW37;1
14096;satch Match Schulrucksack Set 3tlg. mit Sporttasche und Schlamperbox (Toxic Yellow);;72-AEU0-OYH7;1
13616;satch Pack Schulrucksack Set 3tlg. mit Schlamperbox und Sportbeutel (Fire Phantom);159,89;6V-A3DT-YGLG;1
14930;Satch Match - 3tlg. Set Schulrucksack - Farbauswahl - Rucksack+Sporttasche+Schlamperbox (Satch Match Pink Phantom Schulrucksack Set 3tlg.);;6N-BWEQ-UKSG;1
12623;satch Pack Schulrucksack Set 3tlg. mit Sporttasche und Schlamperbox (Pink Phantom);;6N-BWEQ-UKSG;1
12965;satch Pack Schulrucksack Set 3tlg. mit Sporttasche und Schlamperbox (Ninja Matrix);;4B-Y3CD-ME98;1
H3-43AC-FGP8;coocazoo MATE Schulrucksack-Set 3tlg inkl. Sporttasche und Schlamperbox (Geometric Sky);;3A-AFEY-T8CR;1
14693;satch Match Schulrucksack Set 3tlg. inkl. Schlamperbox und Sportbeutel (Purple Phantom);;35-9D9X-LS52;1
B2-5VGW-QOB3;Satch Pack Mint Phantom 2er Set Schulrucksack & Schlamperbox;;2N-4ER2-YBW4;1
14067;Satch Pack Mint Phantom 2er Set Schulrucksack & Schlamperbox;;2N-4ER2-YBW4;1
WX-6LEB-1L60;satch Match Schulrucksack Set 3tlg. inkl. Schlamperbox und Sportbeutel (Purple Phantom);207,88;2K-7K7Q-RELI;1
14693;satch Match Schulrucksack Set 3tlg. inkl. Schlamperbox und Sportbeutel (Purple Phantom);207,88;2K-7K7Q-RELI;1
86-YF1M-PXTV;satch Air Schulrucksack Set 2tlg. inkl. Schlamperbox (Bloomy Breeze);;22-6FH8-ORHM;1
14480;satch Match Schulrucksack Set 3tlg. (Purple Phantom) inkl. Schlamperbox und Sporttasche;;100007;
14108;satch Pack Schulrucksack Set 3tlg. mit Sporttasche und Schlamperbox (Mesmerize);171,49;YX-6LRA-5WZF;1
13616;satch Pack Schulrucksack Set 3tlg. mit Schlamperbox und Sportbeutel (Fire Phantom);;TJ-IUV7-C1XT;1
13887;satch Pack Schulrucksack Set 3tlg. inkl. Schlamperbox u. Sporttasche (Night Vision);;TF-ZAFX-BBVP;1
12708;satch Pack Schulrucksack Set 3tlg. mit Sporttasche und Schlamperbox (Nordic Blue Skandi Ed.);;PZ-U2M2-FLRQ;1
14372;Satch Pack Blackjack Schulrucksack Set 3tlg.;;LZ-COA2-Z2DT;1
14096;satch Match Schulrucksack Set 3tlg. mit Sporttasche und Schlamperbox (Toxic Yellow);;L0-Q5N3-QBQF;1
12660;satch Pack Schulrucksack Set 3tlg. mit Schlamperbox und Sportbeutel (Mystic Nights);170,8;I2-HGR0-5QZP;1
14118;satch Match Schulrucksack Set 2tlg. mit Schlamperbox (Pink Phantom);149,47;HF-R1CS-4AK5;1
13847;satch Pack Schulrucksack Set 3tlg. inkl. Schlamperbox u. Sporttasche (Purple Laser);209,89;7N-SOCR-YEUD;1
12660;satch Pack Schulrucksack Set 3tlg. mit Schlamperbox und Sportbeutel (Mystic Nights);;6I-GYH3-UBMP;1
14793;satch Match Schulrucksack Set 2tlg. (Purple Phantom);179,99;2K-7K7Q-RELI;1
SAT-TBO-001-321;Satch Trinkflasche Grün;0;;
R3-3LAO-MT27;satch flow M Trolley Koffer Handgepäck 35 l 54x32x23 cm oder Koffer groß 55 l 65x37x29 cm, inkl. Wäschebeutel, Reisegepäck Geo Storm - Olive;145,8;;
100001;satch Pencil Slider Coral Reef;0;;
100017;Satch Heftebox Triple Flex Schwarz;0;;
100016;Satch Clutch Coral Reef;0;;
100008;Coocazoo Geldbeutel Arctic Midnight;0;;
RA-F197-DVKQ;satch flow S Trolley Koffer Handgepäck 35 l 54x32x23 cm oder Koffer groß 55 l 65x37x29 cm, inkl. Wäschebeutel, Reisegepäck Geo Storm - Olive;110,9;;
WM-GBPM-WYH8;satch Match Schulrucksack Set 3tlg. inkl. Schlamperbox und Sportbeutel (Deep Petrol);181,31;;
85-W943-G1FC;satch SWAPS Rucksack Accessoire in vielen Designs und Farben, austauschbar und individuell kombinierbar Happy Faces - Türkis;13,4;;
Q6-KC8X-5D6R;satch Heftebox DIN A4 für Schulrucksäcke inkl. Griff und drei Fächern, hochwertig und leicht Heftebox Schwarz - Schwarz;22,66;;
K0-MLP5-769T;satch SWAPS Rucksack Accessoire in vielen Designs und Farben, austauschbar und individuell kombinierbar Mono Coral - Korall;12,71;;
CS-AV1X-FJ76;satch Sporttasche 25L Splashy Laser;30,8;;
RN-TVKX-SSN4;satch SWAPS Rucksack Accessoire in vielen Designs und Farben, austauschbar und individuell kombinierbar Mono Lime - Lime;13,19;;
N5-WXI0-3XV3;satch SWAPS Rucksack Accessoire in vielen Designs und Farben, austauschbar und individuell kombinierbar Stripe Green - Grün;12,28;;
EZ-OAX2-NTB2;satch Nordic Blue Geldbeutel für Jungen und Mädchen mit Sichtfenster, Münzfach und Geldscheinfach;17,88;;
4I-AYRQ-ZMLT;satch SWAPS Rucksack Accessoire in vielen Designs und Farben, austauschbar und individuell kombinierbar Sprinkle Mint - Mint;13,79;;
MR-ZUXV-06EF;satch SWAPS Rucksack Accessoire in vielen Designs und Farben, austauschbar und individuell kombinierbar Mono Olive - Olive;13,79;;
LX-AQHF-GO32;satch Sporttasche Dark Skate;43,7;;
MH-MXFG-9UYH;satch SWAPS Rucksack Accessoire in vielen Designs und Farben, austauschbar und individuell kombinierbar Skandi Brown - Braun;16,04;;
J4-9SQQ-BBL4;'Coocazoo Schlampermäppchen PencilDenzel MeshFlash LE Polyester 6 x 24 x 11 cm (H/B/T) Unisex Zubehör Schule (PencilDenzel-MF);25,08;;
WN-1LJ0-FXVC;satch SWAPS Rucksack Accessoire in vielen Designs und Farben, austauschbar und individuell kombinierbar Reflective Violet - Lila;16,79;;
BI-JR95-TIB4;satch SWAPS Rucksack Accessoire in vielen Designs und Farben, austauschbar und individuell kombinierbar Mono Yellow - Gelb;12,39;;
2M-CM2W-M1QV;satch SWAPS Rucksack Accessoire in vielen Designs und Farben, austauschbar und individuell kombinierbar Future Is Now - Grün;13,79;;
FG-84ZF-Z5MZ;satch SWAPS Rucksack Accessoire in vielen Designs und Farben, austauschbar und individuell kombinierbar Stripe Blue - Blau;12,28;;
I9-EFP6-Y6O1;satch SWAPS Rucksack Accessoire in vielen Designs und Farben, austauschbar und individuell kombinierbar Reflective Petrol - Petrol;15,75;;
P2-F1BI-LXCQ;satch Sporttasche Mystic Nights;62,9;;
S5-JVTU-OOWD;satch air Schulrucksack ab 5. Klasse gepolstert 26L Stauraum standfest Laptopfach Jurassic Jungle - Grün;84,89;;
43-L3LF-X0VJ;Satch Pack Blackjack, ergonomischer Schulrucksack, 30 Liter, Organisationstalent, Schwarz, OneSize, SAT-SIN-001-800;119;;
HP-ESU8-UDYQ;Satch Air Troublemaker;0;;
X3-KCKK-F0YG;Satch Air Jurassic Jungle;0;;
J3-8ZDR-WYAM;Satch Pack Schulrucksack Troublemaker 001;119,99;;
6V-2CNS-82IT;"coocazoo Schulrucksack Joker ""Sprinkled Candy"", schwarz-rosa, ergonomischer & anpassbarer Tornister, höhen- & größenverstellbar, mit Brustgurt & Hüftgurt, ab der 3. Klasse";89,89;;
FO-66CW-NXF8;Satch Flow S Pure Jade Green;0;;
XU-RTZA-LBDI;Satch Flow M Pure Coral;130,09;;
L7-4APX-MNYY;Satch Flow M Pure Ice Blue;130,09;;
7F-29DC-JNUB;Satch Sporttasche Deep Petrol;38;;
C7-5P2E-6ROE;Satch Flow M Pure Jade Green;130,09;;
16127;Satch Schlamperbox Bloomy Breeze;28,99;;
3L-JYIF-RY1O;Satch Sporttasche Nordic Grey 2024;44;;
JK-DG8E-VK5Z;satch Pack - Schulrucksack 45 cm Bright Faces;126;;
P6-2AMS-HCO0;satch Sportbeutel Turnbeutel Cliff Jumper;32,35;;
6F-9MTU-75MY;satch Geldbeutel Dark Skate;17,05;;
1F-10BI-25N3;satch flow S Trolley Koffer Handgepäck 35 l 54x32x23 cm oder Koffer groß 55 l 65x37x29 cm, inkl. Wäschebeutel, Reisegepäck Fire Phantom - Schwarz;98,88;;
XX-RZ3V-4WSP;satch Schlamperbox extra groß inkl. Trennfach Reißverschlussfach Stiftehalter Geodreieck Sichtfenster für Stundenplan Coral Reef - Dunkelblau;25,64;;
EK-4ZTQ-375X;satch Sportbeutel Dark Skate;28,08;;
YR-7E73-X0ZN;satch flow S Trolley Koffer Handgepäck 35 l 54x32x23 cm oder Koffer groß 55 l 65x37x29 cm, inkl. Wäschebeutel, Reisegepäck Pure Navy - Dunkelblau;126,39;;
P1-YO1U-SLY2;satch Sportbeutel Nordic Grey;28,83;;
R0-WTT7-RTKC;satch Sportbeutel Turnbeutel Coral Reef;25,64;;
R1-ADXG-JQGW;satch Geldbeutel Nordic Grey;20,87;;
7K-Z5BW-ELGB;satch flow S Trolley Koffer Handgepäck 35 l 54x32x23 cm oder Koffer groß 55 l 65x37x29 cm, inkl. Wäschebeutel, Reisegepäck Troublemaker - Blau;111,89;;
7I-F6TX-Z0O9;satch SWAPS Rucksack Accessoire in vielen Designs und Farben, austauschbar und individuell kombinierbar Metallic Blue - Petrol;18,79;;
76-2LLZ-8CML;"Coocazoo Geldbörse ""Bubble Brush"", grau-rosa, Portemonnaie mit Sichtfenster innen & außen, recyceltes Polyester, Münzfach & Kartenfächern, Klettverschluss, ab der 3. Klasse";16,86;;
8C-ZFCR-YGYX;satch Schlamperbox Nordic Jade Green;29,89;;
03-DNOW-7JMF;Satch Sleek Schulrucksack - ergonomisch, 24 Liter, extra schlank - Geo Storm - Olive;99,99;;
UQ-42AR-40T3;coocazoo Regenhülle, Berry, rot, reflektierend und wasserdicht, getapte Nähte, geeignet für Rucksäcke und Tornister, schützt vor Regen und Schmutz, ab der 3. Klasse;16,72;;
GX-1AF7-SQX7;satch Sporttasche Coral Reef;42,65;;
BO-Y9B7-YLN6;coocazoo Faltbare Heftbox, Blue, blau, mit Tragegriff, platzsparend mit ausziehbaren Seiten, Heftordner für Schulrucksäcke, ab der 3. Klasse;20,67;;
CM-O3RV-OF0L;"SATCH Unisex-Kinder Sleek Rucksack Schwarz (Blackjack)"" is incorrect and must be replaced by the proper value ""satch sleek Schulrucksack - ergonomisch, 24 Liter, extra schlank Blackjack - Schwarz";99,99;;
F5-HAPQ-3FBL;satch air Schulrucksack ab 5. Klasse gepolstert 26L Stauraum standfest Laptopfach Dark Skate - Schwarz;88,34;;
8P-1EWY-HMRX;satch flow M Trolley Koffer Handgepäck 35 l 54x32x23 cm oder Koffer groß 55 l 65x37x29 cm, inkl. Wäschebeutel, Reisegepäck Pure Navy - Dunkelblau;145;;
P3-PWV4-XIFY;"coocazoo Schulrucksack Joker ""Sweet Rose"", lila-rosa, ergonomischer & anpassbarer Tornister, höhen- & größenverstellbar, mit Brustgurt & Hüftgurt, ab der 3. Klasse";89,99;;
MQ-ALHJ-17O0;satch Sportbeutel Turnbeutel für Mädchen und Jungen mit Reißverschlussfach, 12 Liter, Rucksack fixierbar Pink Supreme;28,99;;
V3-RJJO-053S;satch air Schulrucksack ab 5. Klasse gepolstert 26L Stauraum standfest Laptopfach Nordic Grey - Grau;92,86;;
3E-1FXY-85RF;satch air Schulrucksack ab 5. Klasse gepolstert 26L Stauraum standfest Laptopfach Coral Reef - Dunkelblau;85,01;;
1I-MFLR-EJEW;satch pack Schulrucksack ab 5. Klasse ergonomisch 30L Stauraum standfest Organisationstalent Double Trouble - Beige;130;;
7G-IIJ7-CAOY;satch flow M Trolley Koffer Handgepäck 35 l 54x32x23 cm oder Koffer groß 55 l 65x37x29 cm, inkl. Wäschebeutel, Reisegepäck Troublemaker - Blau;144,88;;
XY-NX2H-XOKP;Satch Sportbeutel Troublemaker;26,31;;
F5-2YNO-YFO7;satch flow M Trolley Koffer Handgepäck 35 l 54x32x23 cm oder Koffer groß 55 l 65x37x29 cm, inkl. Wäschebeutel, Reisegepäck Fire Phantom - Schwarz;134,99;;
8M-J0C6-6VHA;satch Schlamperbox  Purple Phantom - Schwarz;26,59;;
JB-3DLZ-DKZN;satch air Schulrucksack ab 5. Klasse gepolstert 26L Stauraum standfest Laptopfach Mystic Nights - Lila;91,68;;
88-20LX-VYEJ;satch air Schulrucksack ab 5. Klasse gepolstert 26L Stauraum standfest Laptopfach Ninja Matrix - Schwarz;99;;
3E-YDLS-SB2J;satch match Blue Tech 2024;131,49;;
M6-GR5R-WSV5;satch pack Schulrucksack ab 5. Klasse ergonomisch 30L Stauraum standfest Organisationstalent Purple Phantom - Schwarz;126,49;;
4L-L0ZF-GFX5;satch match Fire Phantom 2024;135,99;;
G1-BAZJ-Z4UI;satch pack Schulrucksack ab 5. Klasse ergonomisch 30L Stauraum standfest Organisationstalent 80s Dance - Hellblau;117,5;;
MX-EIXF-UAZ4;"Coocazoo Turnbeutel ""Lime Flash"", schwarz-grün, mit Reißverschlussfach und Kordelzug, reflektierende Elemente, Schlaufen zur Befestigung am Schulrucksack, 10 Liter, ab der 3. Klasse";23,03;;
ZX-OVA7-33XT;Satch Match Purple Laser neu;134,42;;
YG-MXR2-QE1Y;satch air Schulrucksack ab 5. Klasse gepolstert 26L Stauraum standfest Laptopfach Purple Laser - Dunkelblau;87,48;;
Y6-QZ8C-UWUA;Satch Schlamperbox Dark Skate;23,74;;
XL-FP0X-H1ER;Coocazoo CarryLarry2 Seaman;89,95;;
WO-QF8C-RZZL;Satch Geldbeutel Purple Phantom;19,09;;
W2-JUQ5-0XUV;"Coocazoo Geldbörse ,,Dark Mission"", schwarz-grau, Portemonnaie mit Sichtfenster innen & außen, recyceltes Polyester, Münzfach & Kartenfächern, Klettverschluss, ab der 3. Klasse";17,82;;
VS-GWZ0-H306;Satch Sportbeutel Double Trouble;29,98;;
V4-4SK4-94K4;Satch Clutch Bright Faces;24,99;;
UU-POSC-GJWX;Satch Tag Reflective Black;11,11;;
UU-AJO9-XOPY;Satch Tag Matchball;11,11;;
U7-HPQC-4LZ1;Satch Tag School Rebel;11,11;;
TN-5P8K-75PM;Satch Schlamperbox Ocean Dive;29,99;;
TI-OFX4-LYSU;Satch air Jurassic Jungle;84,15;;
TE-DVWK-2HLH;Satch Match Coral Reef neu;117,49;;
SY-4VF9-S4NU;Coocazoo MatchPatch Translucent Yellow;21,59;;
SB-LRAP-QTR4;Satch Tag Dunk;11,11;;
S4-CNP6-JQH1;Satch air Green Supreme;99,99;;
QQ-NNX2-BG9I;Coocazoo CarryLarry2 Brush Camou;99,95;;
QM-8AJU-SU8H;satch TAG Rucksack Accessoire match gekauft ab März 2024, in vielen Designs und Farben Reflective Violet - Pink;11,11;;
QB-50WR-LGXT;satch nordic blue sportbeutel;29,99;;
QA-8NH9-Q37G;satch air Schulrucksack ab 5. Klasse gepolstert 26L Stauraum standfest Laptopfach Blackjack - Schwarz;90,24;;
P0-RSGQ-01M2;Satch Match Jurassic Jungle neu;136,88;;
OP-0BXO-MQWA;Coocazoo Sportbeutel Hip to be Square;19,95;;
O6-PDBX-1YKJ;satch Geldbeutel für Jungen und Mädchen mit Sichtfenster, Münzfach und Geldscheinfach;18,9;;
NS-MFW5-EGY1;Satch Tag Reflective Purple;11,11;;
MO-K5UW-UU2P;satch air Schulrucksack ab 5. Klasse gepolstert 26L Stauraum standfest Laptopfach Night Vision - Schwarz;99,99;;
